model,date,season,y,yhat
AUS/POAMA,2002-05-01,AMJ,0.54,-0.1
AUS/POAMA,2002-06-01,MJJ,0.75,-0.2
AUS/POAMA,2002-07-01,JJA,0.98,0.27
AUS/POAMA,2002-08-01,JAS,1.06,0.7
AUS/POAMA,2002-09-01,ASO,1.24,0.44
AUS/POAMA,2002-10-01,SON,1.47,0.64
AUS/POAMA,2002-11-01,OND,1.61,0.74
AUS/POAMA,2002-12-01,NDJ,1.54,0.88
AUS/POAMA,2003-01-01,DJF,1.22,1.05
AUS/POAMA,2003-02-01,JFM,0.9,0.87
AUS/POAMA,2003-03-01,FMA,0.53,0.1
AUS/POAMA,2003-04-01,MAM,0.13,0.01
AUS/POAMA,2003-05-01,AMJ,-0.1,-0.21
AUS/POAMA,2003-06-01,MJJ,-0.01,-1.06
AUS/POAMA,2003-07-01,JJA,0.17,-0.74
AUS/POAMA,2003-08-01,JAS,0.27,-0.24
AUS/POAMA,2003-09-01,ASO,0.36,-0.49
AUS/POAMA,2003-10-01,SON,0.48,-0.18
AUS/POAMA,2003-11-01,OND,0.52,0.16
AUS/POAMA,2003-12-01,NDJ,0.39,0.57
AUS/POAMA,2004-01-01,DJF,0.27,0.45
AUS/POAMA,2004-02-01,JFM,0.12,0.06
AUS/POAMA,2004-03-01,FMA,0.09,-0.13
AUS/POAMA,2004-04-01,MAM,0.14,0.33
AUS/POAMA,2004-05-01,AMJ,0.24,0.42
AUS/POAMA,2004-06-01,MJJ,0.38,0.24
AUS/POAMA,2004-07-01,JJA,0.57,0.28
AUS/POAMA,2004-08-01,JAS,0.76,0.05
AUS/POAMA,2004-09-01,ASO,0.82,0.38
AUS/POAMA,2004-10-01,SON,0.8,0.51
AUS/POAMA,2004-11-01,OND,0.81,0.83
AUS/POAMA,2004-12-01,NDJ,0.75,0.95
AUS/POAMA,2005-01-01,DJF,0.57,0.91
AUS/POAMA,2005-02-01,JFM,0.42,0.64
AUS/POAMA,2005-03-01,FMA,0.34,0.35
AUS/POAMA,2005-04-01,MAM,0.4,0.26
AUS/POAMA,2005-05-01,AMJ,0.45,0.49
AUS/POAMA,2005-06-01,MJJ,0.48,0.59
AUS/POAMA,2005-07-01,JJA,0.37,-0.09
AUS/POAMA,2005-08-01,JAS,0.18,-0.38
AUS/POAMA,2005-09-01,ASO,0.12,-0.52
AUS/POAMA,2005-10-01,SON,0.01,-0.79
AUS/POAMA,2005-11-01,OND,-0.2,-0.89
AUS/POAMA,2005-12-01,NDJ,-0.54,-0.67
AUS/POAMA,2006-01-01,DJF,-0.7,-0.82
AUS/POAMA,2006-02-01,JFM,-0.7,-1.34
AUS/POAMA,2006-03-01,FMA,-0.43,-1.31
AUS/POAMA,2006-04-01,MAM,-0.18,-0.74
AUS/POAMA,2006-05-01,AMJ,0.15,-0.34
AUS/POAMA,2006-06-01,MJJ,0.26,-0.54
AUS/POAMA,2006-07-01,JJA,0.38,-0.46
AUS/POAMA,2006-08-01,JAS,0.5,-0.39
AUS/POAMA,2006-09-01,ASO,0.69,0.01
AUS/POAMA,2006-10-01,SON,0.93,0.54
AUS/POAMA,2006-11-01,OND,1.13,0.54
AUS/POAMA,2006-12-01,NDJ,1.08,0.71
AUS/POAMA,2007-01-01,DJF,0.71,0.95
AUS/POAMA,2007-02-01,JFM,0.29,0.47
AUS/POAMA,2007-03-01,FMA,0.08,-0.3
AUS/POAMA,2007-04-01,MAM,-0.02,-0.52
AUS/POAMA,2007-05-01,AMJ,0,-0.78
AUS/POAMA,2007-06-01,MJJ,-0.14,-1.23
AUS/POAMA,2007-07-01,JJA,-0.24,-1.73
AUS/POAMA,2007-08-01,JAS,-0.54,-1.31
AUS/POAMA,2007-09-01,ASO,-0.92,-1.05
AUS/POAMA,2007-10-01,SON,-1.23,-1.34
AUS/POAMA,2007-11-01,OND,-1.44,-1.51
AUS/POAMA,2007-12-01,NDJ,-1.59,-1.8
AUS/POAMA,2008-01-01,DJF,-1.74,-1.68
AUS/POAMA,2008-02-01,JFM,-1.6,-1.53
AUS/POAMA,2008-03-01,FMA,-1.26,-1.6
AUS/POAMA,2008-04-01,MAM,-0.84,-1.05
AUS/POAMA,2008-05-01,AMJ,-0.58,-0.66
AUS/POAMA,2008-06-01,MJJ,-0.26,-0.21
AUS/POAMA,2008-07-01,JJA,-0.01,0.16
AUS/POAMA,2008-08-01,JAS,0.03,0.27
AUS/POAMA,2008-09-01,ASO,-0.11,0.19
AUS/POAMA,2008-10-01,SON,-0.21,0.12
AUS/POAMA,2008-11-01,OND,-0.4,-0.08
AUS/POAMA,2008-12-01,NDJ,-0.65,-0.14
AUS/POAMA,2009-01-01,DJF,-0.8,-0.37
AUS/POAMA,2009-02-01,JFM,-0.72,-0.64
AUS/POAMA,2009-03-01,FMA,-0.44,-0.22
AUS/POAMA,2009-04-01,MAM,-0.13,-0.26
