Year,Unit,Value
1866,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.3
1867,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.7
1868,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",26.2
1869,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",21.8
1870,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.3
1871,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",27.2
1872,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.4
1873,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",22.9
1874,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",22.2
1875,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",27.7
1876,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",26.7
1877,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",25.8
1878,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",26.2
1879,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28.2
1880,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",27.3
1881,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",19.8
1882,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",26.5
1883,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.2
1884,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28.3
1885,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28.6
1886,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.1
1887,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",21.9
1888,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.1
1889,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.5
1890,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",22.1
1891,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.6
1892,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.7
1893,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",23.8
1894,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20.2
1895,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28
1896,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30
1897,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",25.4
1898,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",26.8
1899,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28
1900,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28.1
1901,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",18.2
1902,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28.5
1903,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",26.9
1904,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28.2
1905,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30.9
1906,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",31.7
1907,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",27.2
1908,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",26.9
1909,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",26.1
1910,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",27.9
1911,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.4
1912,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.1
1913,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",22.7
1914,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",25.8
1915,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28.1
1916,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.1
1917,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",26.2
1918,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",23.9
1919,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",26.8
