Date       , Time  , Reading
2020-01-01, 00:00 ,1.585
2020-01-01, 00:10 ,1.575
2020-01-01, 00:20 ,1.562
2020-01-01, 00:30 ,1.55
2020-01-01, 00:40 ,1.535
2020-01-01, 00:50 ,1.518
2020-01-01, 01:00 ,1.501
2020-01-01, 01:10 ,1.491
2020-01-01, 01:20 ,1.482
2020-01-01, 01:30 ,1.477
2020-01-01, 01:40 ,1.463
2020-01-01, 01:50 ,1.451
2020-01-01, 02:00 ,1.447
2020-01-01, 02:10 ,1.45
2020-01-01, 02:20 ,1.459
2020-01-01, 02:30 ,1.473
2020-01-01, 02:40 ,1.487
2020-01-01, 02:50 ,1.494
2020-01-01, 03:00 ,1.492
2020-01-01, 03:10 ,1.495
2020-01-01, 03:20 ,1.498
2020-01-01, 03:30 ,1.489
2020-01-01, 03:40 ,1.479
2020-01-01, 03:50 ,1.482
2020-01-01, 04:00 ,1.475
2020-01-01, 04:10 ,1.457
2020-01-01, 04:20 ,1.433
2020-01-01, 04:30 ,1.403
2020-01-01, 04:40 ,1.369
2020-01-01, 04:50 ,1.342
2020-01-01, 05:00 ,1.321
2020-01-01, 05:10 ,1.306
2020-01-01, 05:20 ,1.29
2020-01-01, 05:30 ,1.297
2020-01-01, 05:40 ,1.294
2020-01-01, 05:50 ,1.294
2020-01-01, 06:00 ,1.313
2020-01-01, 06:10 ,1.329
2020-01-01, 06:20 ,1.343
2020-01-01, 06:30 ,1.355
2020-01-01, 06:40 ,1.368
2020-01-01, 06:50 ,1.379
2020-01-01, 07:00 ,1.401
2020-01-01, 07:10 ,1.42
2020-01-01, 07:20 ,1.441
2020-01-01, 07:30 ,1.452
2020-01-01, 07:40 ,1.454
2020-01-01, 07:50 ,1.45
2020-01-01, 08:00 ,1.448
2020-01-01, 08:10 ,1.461
2020-01-01, 08:20 ,1.48
2020-01-01, 08:30 ,1.502
2020-01-01, 08:40 ,1.529
2020-01-01, 08:50 ,1.545
2020-01-01, 09:00 ,1.548
2020-01-01, 09:10 ,1.564
2020-01-01, 09:20 ,1.597
2020-01-01, 09:30 ,1.633
2020-01-01, 09:40 ,1.671
2020-01-01, 09:50 ,1.698
2020-01-01, 10:00 ,1.729
2020-01-01, 10:10 ,1.763
2020-01-01, 10:20 ,1.802
2020-01-01, 10:30 ,1.84
2020-01-01, 10:40 ,1.87
2020-01-01, 10:50 ,1.905
2020-01-01, 11:00 ,1.938
2020-01-01, 11:10 ,1.973
2020-01-01, 11:20 ,1.996
2020-01-01, 11:30 ,2.011
2020-01-01, 11:40 ,2.032
2020-01-01, 11:50 ,2.058
2020-01-01, 12:00 ,2.089
2020-01-01, 12:10 ,2.107
2020-01-01, 12:20 ,2.123
2020-01-01, 12:30 ,2.134
2020-01-01, 12:40 ,2.152
2020-01-01, 12:50 ,2.169
2020-01-01, 13:00 ,2.19
2020-01-01, 13:10 ,2.207
2020-01-01, 13:20 ,2.202
2020-01-01, 13:30 ,2.198
2020-01-01, 13:40 ,2.197
2020-01-01, 13:50 ,2.198
2020-01-01, 14:00 ,2.216
2020-01-01, 14:10 ,2.248
2020-01-01, 14:20 ,2.258
2020-01-01, 14:30 ,2.249
2020-01-01, 14:40 ,2.232
2020-01-01, 14:50 ,2.212
2020-01-01, 15:00 ,2.206
2020-01-01, 15:10 ,2.212
2020-01-01, 15:20 ,2.213
2020-01-01, 15:30 ,2.212
2020-01-01, 15:40 ,2.213
2020-01-01, 15:50 ,2.208
2020-01-01, 16:00 ,2.195
2020-01-01, 16:10 ,2.169
2020-01-01, 16:20 ,2.156
2020-01-01, 16:30 ,2.139
2020-01-01, 16:40 ,2.116
2020-01-01, 16:50 ,2.096
2020-01-01, 17:00 ,2.072
2020-01-01, 17:10 ,2.044
2020-01-01, 17:20 ,2.016
2020-01-01, 17:30 ,1.981
2020-01-01, 17:40 ,1.941
2020-01-01, 17:50 ,1.899
2020-01-01, 18:00 ,1.859
2020-01-01, 18:10 ,1.822
2020-01-01, 18:20 ,1.787
2020-01-01, 18:30 ,1.752
2020-01-01, 18:40 ,1.73
2020-01-01, 18:50 ,1.705
2020-01-01, 19:00 ,1.673
2020-01-01, 19:10 ,1.637
2020-01-01, 19:20 ,1.607
2020-01-01, 19:30 ,1.584
2020-01-01, 19:40 ,1.568
2020-01-01, 19:50 ,1.562
2020-01-01, 20:00 ,1.555
2020-01-01, 20:10 ,1.541
2020-01-01, 20:20 ,1.527
2020-01-01, 20:30 ,1.513
2020-01-01, 20:40 ,1.493
2020-01-01, 20:50 ,1.467
2020-01-01, 21:00 ,1.445
2020-01-01, 21:10 ,1.425
2020-01-01, 21:20 ,1.399
2020-01-01, 21:30 ,1.37
2020-01-01, 21:40 ,1.348
2020-01-01, 21:50 ,1.331
2020-01-01, 22:00 ,1.32
2020-01-01, 22:10 ,1.306
2020-01-01, 22:20 ,1.286
2020-01-01, 22:30 ,1.277
2020-01-01, 22:40 ,1.282
2020-01-01, 22:50 ,1.29
2020-01-01, 23:00 ,1.307
2020-01-01, 23:10 ,1.333
2020-01-01, 23:20 ,1.353
2020-01-01, 23:30 ,1.367
2020-01-01, 23:40 ,1.381
2020-01-01, 23:50 ,1.395
2020-01-02, 00:00 ,1.401
2020-01-02, 00:10 ,1.405
2020-01-02, 00:20 ,1.419
2020-01-02, 00:30 ,1.429
2020-01-02, 00:40 ,1.437
2020-01-02, 00:50 ,1.437
2020-01-02, 01:00 ,1.433
2020-01-02, 01:10 ,1.425
2020-01-02, 01:20 ,1.425
2020-01-02, 01:30 ,1.435
2020-01-02, 01:40 ,1.448
2020-01-02, 01:50 ,1.464
2020-01-02, 02:00 ,1.477
2020-01-02, 02:10 ,1.492
2020-01-02, 02:20 ,1.503
2020-01-02, 02:30 ,1.518
2020-01-02, 02:40 ,1.537
2020-01-02, 02:50 ,1.549
2020-01-02, 03:00 ,1.552
2020-01-02, 03:10 ,1.557
2020-01-02, 03:20 ,1.566
2020-01-02, 03:30 ,1.58
2020-01-02, 03:40 ,1.579
2020-01-02, 03:50 ,1.58
2020-01-02, 04:00 ,1.581
2020-01-02, 04:10 ,1.575
2020-01-02, 04:20 ,1.567
2020-01-02, 04:30 ,1.56
2020-01-02, 04:40 ,1.553
2020-01-02, 04:50 ,1.555
2020-01-02, 05:00 ,1.557
2020-01-02, 05:10 ,1.551
2020-01-02, 05:20 ,1.535
2020-01-02, 05:30 ,1.512
2020-01-02, 05:40 ,1.51
2020-01-02, 05:50 ,1.515
2020-01-02, 06:00 ,1.521
2020-01-02, 06:10 ,1.521
2020-01-02, 06:20 ,1.507
2020-01-02, 06:30 ,1.501
2020-01-02, 06:40 ,1.504
2020-01-02, 06:50 ,1.507
2020-01-02, 07:00 ,1.502
2020-01-02, 07:10 ,1.489
2020-01-02, 07:20 ,1.483
2020-01-02, 07:30 ,1.491
2020-01-02, 07:40 ,1.493
2020-01-02, 07:50 ,1.492
2020-01-02, 08:00 ,1.487
2020-01-02, 08:10 ,1.486
2020-01-02, 08:20 ,1.488
2020-01-02, 08:30 ,1.495
2020-01-02, 08:40 ,1.502
2020-01-02, 08:50 ,1.507
2020-01-02, 09:00 ,1.507
2020-01-02, 09:10 ,1.526
2020-01-02, 09:20 ,1.542
2020-01-02, 09:30 ,1.56
2020-01-02, 09:40 ,1.576
2020-01-02, 09:50 ,1.591
2020-01-02, 10:00 ,1.611
2020-01-02, 10:10 ,1.644
2020-01-02, 10:20 ,1.666
2020-01-02, 10:30 ,1.681
2020-01-02, 10:40 ,1.703
2020-01-02, 10:50 ,1.729
2020-01-02, 11:00 ,1.752
2020-01-02, 11:10 ,1.772
2020-01-02, 11:20 ,1.787
2020-01-02, 11:30 ,1.811
2020-01-02, 11:40 ,1.829
2020-01-02, 11:50 ,1.837
2020-01-02, 12:00 ,1.849
2020-01-02, 12:10 ,1.863
2020-01-02, 12:20 ,1.879
2020-01-02, 12:30 ,1.898
2020-01-02, 12:40 ,1.913
2020-01-02, 12:50 ,1.926
2020-01-02, 13:00 ,1.937
2020-01-02, 13:10 ,1.957
2020-01-02, 13:20 ,1.979
2020-01-02, 13:30 ,2.002
2020-01-02, 13:40 ,2.025
2020-01-02, 13:50 ,2.042
2020-01-02, 14:00 ,2.058
2020-01-02, 14:10 ,2.078
2020-01-02, 14:20 ,2.099
2020-01-02, 14:30 ,2.121
2020-01-02, 14:40 ,2.141
2020-01-02, 14:50 ,2.147
2020-01-02, 15:00 ,2.151
2020-01-02, 15:10 ,2.156
2020-01-02, 15:20 ,2.167
2020-01-02, 15:30 ,2.179
2020-01-02, 15:40 ,2.185
2020-01-02, 15:50 ,2.175
2020-01-02, 16:00 ,2.157
2020-01-02, 16:10 ,2.128
2020-01-02, 16:20 ,2.104
2020-01-02, 16:30 ,2.092
2020-01-02, 16:40 ,2.087
2020-01-02, 16:50 ,2.074
2020-01-02, 17:00 ,2.057
2020-01-02, 17:10 ,2.03
2020-01-02, 17:20 ,2.007
2020-01-02, 17:30 ,1.988
2020-01-02, 17:40 ,1.968
2020-01-02, 17:50 ,1.948
2020-01-02, 18:00 ,1.93
2020-01-02, 18:10 ,1.913
2020-01-02, 18:20 ,1.89
2020-01-02, 18:30 ,1.867
2020-01-02, 18:40 ,1.847
2020-01-02, 18:50 ,1.823
2020-01-02, 19:00 ,1.797
2020-01-02, 19:10 ,1.773
2020-01-02, 19:20 ,1.736
2020-01-02, 19:30 ,1.687
